"","SUBTIME","JOBFUNCOTHER","GENDER","ROLE","age_range","gender","team_size","condexp","COMPANY","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","WORKTIM"
"19","25.11.16 13:44","","M","Developer","50 or more","Male","6-10",NA,"Ericsson","disagree","agree","indecisive","disagree","indecisive","agree","indecisive","indecisive","agree","indecisive","disagree","indecisive","disagree","disagree","indecisive","agree","disagree","disagree","disagree","disagree",NA,NA,"disagree","disagree","agree","indecisive","agree","agree","indecisive","indecisive","1 year"
"20","25.11.16 13:59","Project delivery","M","Other","41-50","Male","11-20","Yes, actively","Ericsson","disagree","agree","disagree","disagree","agree","agree","disagree","disagree","agree","disagree","disagree","agree","disagree","disagree","agree","disagree","agree","agree","disagree","agree","disagree","agree","agree","agree","agree","disagree","agree","agree","agree","disagree","10 year"
"21","25.11.16 14:11","","M","Developer","21-30","Male","11-20","Never","Ericsson","disagree","agree","disagree","disagree","agree","indecisive","disagree","indecisive","disagree","agree","indecisive","agree","disagree","disagree","agree","disagree","agree","indecisive","agree","indecisive","disagree","disagree","disagree","agree","agree","disagree","agree","indecisive","agree","indecisive","5 year"
"22","25.11.16 14:34","","M","Developer","31-40","Male","3-5","Rarely","Ericsson","agree","agree","agree","indecisive","disagree","agree","agree","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","agree","disagree","agree","indecisive","indecisive","indecisive","agree","disagree","indecisive","indecisive","agree","agree","agree","agree","agree","5 year"
"23","25.11.16 14:45","","M","Developer","41-50","Male","6-10",NA,"Ericsson","disagree","agree","disagree","indecisive","agree","indecisive","indecisive",NA,NA,NA,NA,NA,NA,NA,"agree","agree","disagree","indecisive","agree","agree","agree","agree","indecisive","indecisive","agree","disagree","agree","disagree","disagree","agree","5 year"
"24","25.11.16 15:25","","M","Developer","50 or more","Male","6-10","Yes, actively","Ericsson","disagree","agree","disagree","disagree","agree",NA,"disagree","disagree","agree","disagree","disagree","disagree","agree",NA,"agree","agree","indecisive","agree",NA,NA,"agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","5 year"
"25","25.11.16 15:29","","F","Developer","31-40","Female","11-20",NA,"Ericsson","disagree","agree","disagree","disagree","agree","agree","indecisive","indecisive","indecisive","agree","indecisive","indecisive",NA,"indecisive","agree","agree","disagree","indecisive","indecisive","indecisive",NA,NA,NA,"indecisive","agree","disagree","agree","agree","indecisive","agree","1 year"
"26","25.11.16 15:42","","M","Developer","31-40","Male","6-10","Rarely","Ericsson","disagree","agree","disagree","disagree","agree","agree","disagree","agree","agree","disagree","agree","agree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","disagree","agree","disagree","agree","disagree","agree","disagree","5 year"
"27","25.11.16 15:47","","M","Developer","31-40","Male","6-10","Yes, actively","Ericsson","disagree","agree","disagree","disagree","agree","indecisive","disagree","disagree","agree","disagree","disagree","indecisive","disagree","indecisive","disagree","indecisive","disagree","disagree","disagree","disagree",NA,"indecisive","disagree","disagree","disagree","indecisive","disagree","agree","indecisive","indecisive","5 year"
"28","25.11.16 15:50","","M","Developer","31-40","Male","6-10","Yes, actively","Ericsson","disagree","agree","indecisive","disagree","agree","disagree","disagree","disagree","agree","disagree","disagree","indecisive","indecisive","indecisive","agree","agree","disagree","agree","agree",NA,"agree","agree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","1 year"
"29","25.11.16 17:29","","F","Manager","31-40","Female","6-10","Rarely","Ericsson","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","disagree","agree","disagree","agree","disagree","disagree","indecisive","disagree","agree","agree","agree","agree","agree","disagree","disagree","agree","agree","disagree","agree","indecisive","agree","indecisive","5 year"
"30","25.11.16 18:12","",NA,"Developer","41-50",NA,"6-10","Rarely","Ericsson","disagree","agree","disagree","agree","agree","agree","disagree","disagree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","disagree","indecisive","indecisive",NA,"agree","agree","agree","agree","disagree","agree","disagree","agree","disagree","10 year"
"31","28.11.16 09:19","","M","Manager","50 or more","Male",">20","Occasionally","Ericsson","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","agree","agree","agree","agree","5 year"
"32","28.11.16 11:14","","M","Developer","41-50","Male","3-5",NA,"Ericsson","disagree","agree","disagree","agree","indecisive","agree","indecisive","indecisive","indecisive","disagree","indecisive","disagree",NA,"agree","disagree","agree","disagree","indecisive","agree",NA,"agree",NA,NA,"disagree",NA,NA,"indecisive","indecisive","indecisive","disagree","1 year"
"33","28.11.16 11:23","","M","Developer","41-50","Male","< 3","Yes, actively","Ericsson","disagree","agree","indecisive",NA,"agree","agree","disagree","indecisive","agree","agree","agree","agree",NA,NA,"disagree","agree","disagree","agree","agree","agree",NA,NA,NA,NA,"agree","disagree","agree","agree","agree","disagree","1 year"
"34","29.11.16 12:50","","F","Developer","31-40","Female","3-5","Yes, actively","Ericsson","agree","agree","agree","agree","agree","agree","agree","indecisive","disagree","disagree","disagree","agree","disagree","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","5 year"
"35","30.11.16 11:24","","M","Manager","31-40","Male",">20","Yes, actively","Ericsson","disagree","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","disagree","indecisive","disagree","indecisive","disagree","disagree","agree","indecisive","agree","indecisive","agree","indecisive","indecisive","indecisive","disagree","indecisive","agree","disagree","indecisive","agree","agree","indecisive","5 year"
"36","10.3.17 12:56",NA,"M","Developer","31-40","Male",">20",NA,"F-secure","disagree","agree","disagree","disagree","agree","disagree","disagree","indecisive","agree",NA,"agree","agree","indecisive","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","indecisive","indecisive","indecisive","indecisive","1 year"
"37","10.3.17 13:07",NA,"M","Manager","31-40","Male","11-20","Occasionally","F-secure","indecisive","agree","disagree","indecisive","indecisive","agree","disagree","indecisive","indecisive","agree","indecisive","agree","agree","disagree","agree","disagree","disagree","indecisive","agree","indecisive","indecisive","agree","indecisive","agree","agree","disagree","agree","agree","indecisive","agree","5 year"
"38","10.3.17 13:45",NA,"M","Manager","31-40","Male",">20","Occasionally","F-secure","disagree","indecisive","agree","indecisive","disagree","agree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","agree","disagree","agree","disagree","indecisive","indecisive","agree","agree","agree","indecisive","agree","disagree","indecisive","indecisive","agree","agree","1 year"
"39","10.3.17 14:09",NA,NA,"Other","41-50",NA,">20","Occasionally","F-secure","disagree","disagree","disagree","disagree","agree","disagree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","disagree","agree","disagree","agree","disagree","agree","disagree","disagree","agree","agree","agree","agree","disagree","agree","1 year"
"40","12.3.17 17:55",NA,"M","Manager","41-50","Male",">20","Yes, actively","F-secure","disagree","agree","agree","indecisive","disagree","agree","agree","indecisive","agree","disagree","agree","agree","disagree","disagree","agree","indecisive","disagree","agree","agree",NA,"indecisive","agree",NA,"agree","disagree","agree","agree","agree","indecisive","agree","1 year"
"41","13.3.17 14:46",NA,"F","Manager","31-40","Female","11-20","Rarely","F-secure","disagree","agree","disagree","disagree","agree","disagree","disagree","indecisive","agree","agree",NA,"agree","agree","agree","agree",NA,"disagree","agree","agree","agree","disagree","indecisive",NA,"indecisive","indecisive","agree","indecisive","agree","agree","agree","5 year"
"42","22.3.17 13:37",NA,"M","Manager","50 or more","Male",">20","Occasionally","F-secure","disagree","agree","disagree","disagree","agree","disagree","disagree","indecisive","agree","indecisive","disagree","agree","disagree","disagree","agree","disagree","indecisive","indecisive","agree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","agree","10 year"
"43","22.3.17 15:00",NA,"M","Manager","41-50","Male",">20","Occasionally","F-secure","disagree","agree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","agree","agree","disagree","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","agree","agree","agree","5 year"
"44","3.3.17 11:38","","M","Manager","31-40","Male","11-20","Occasionally","Vaadin","disagree","agree","disagree","disagree","agree","agree","indecisive","agree","agree",NA,NA,"agree","indecisive","agree","agree","disagree","disagree","indecisive","agree","agree",NA,"agree",NA,"agree","disagree","agree","disagree","agree","disagree","agree","1 year"
"45","3.3.17 12:18","","M","Other","31-40","Male","< 3","Yes, actively","Vaadin","disagree","agree","disagree","disagree","agree","disagree","indecisive","indecisive","agree","disagree","disagree","indecisive","disagree","disagree","agree","indecisive","agree","agree","agree","agree","indecisive","agree","disagree","agree","disagree","agree","indecisive","agree","indecisive","indecisive","1 year"
"46","3.3.17 12:31","","M","Other","31-40","Male","6-10","Occasionally","Vaadin","disagree","agree","disagree","disagree","agree","agree",NA,"agree","agree",NA,"disagree","agree","indecisive",NA,"agree","disagree","agree","indecisive","agree","agree","indecisive","agree","agree","indecisive","disagree","agree","indecisive","agree","indecisive","indecisive","1 year"
"47","3.3.17 12:37","","M","UX designer","31-40","Male","6-10","Occasionally","Vaadin","agree","agree","indecisive","agree","disagree","agree","agree","disagree","agree","agree",NA,"agree","disagree","disagree","indecisive","agree","indecisive","indecisive","agree","agree",NA,"disagree",NA,"disagree","agree","agree","agree","agree","agree","agree","5 year"
"48","3.3.17 13:34","","M","Other","21-30","Male","6-10","Occasionally","Vaadin","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","agree","agree","agree","agree","agree","agree","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","indecisive","1 year"
"49","3.3.17 13:48","","M","Developer",NA,"Male","6-10","Occasionally","Vaadin","disagree","agree","disagree","disagree","agree","disagree","disagree","agree","agree",NA,"agree","agree","agree","disagree","agree","disagree","agree","agree","agree","agree",NA,NA,NA,"agree","agree","agree","agree","agree","agree","agree","5 year"
"50","4.3.17 13:12","","M","Manager","20 or less","Male",">20","Occasionally","Vaadin","agree","indecisive","agree",NA,"disagree","agree","agree","indecisive","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","indecisive","agree","disagree","agree","agree","agree","agree","agree",NA
"51","7.3.17 14:24","","M","Other","21-30","Male","< 3","Occasionally","Vaadin","indecisive","indecisive","agree","agree","indecisive","disagree","disagree","indecisive","agree","agree","agree","disagree","indecisive","disagree","agree","disagree","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","agree","1 year"
"52","15.3.17 15:13","sales","M","Other","21-30","Male","11-20","Yes, actively","Vaadin","indecisive","agree","agree","indecisive","indecisive","agree","agree","indecisive","agree","indecisive","indecisive","agree","indecisive","indecisive","agree","disagree","agree","indecisive","agree","agree","disagree","disagree","indecisive","indecisive","agree","disagree","agree","agree","agree","agree","1 year"
"53","15.3.17 15:21","","M","Developer","31-40","Male","11-20","Yes, actively","Vaadin","disagree","agree","disagree","agree","disagree","disagree","indecisive","disagree","disagree","disagree","disagree","disagree","indecisive","disagree","agree","disagree","agree","indecisive","agree","indecisive","agree","agree","agree","agree","agree","disagree","agree","agree","disagree","agree","5 year"
"54","15.3.17 15:26","Account Manager","M","Manager",NA,"Male","6-10","Occasionally","Vaadin","disagree","agree","indecisive","disagree","agree","disagree","indecisive","agree","disagree",NA,NA,"disagree","disagree","agree","disagree","disagree","agree","indecisive","agree","agree","indecisive",NA,"agree","agree","disagree","agree","agree","agree","indecisive","agree","1 year"
"55","15.3.17 15:41","","M","Other","41-50","Male","< 3","Occasionally","Vaadin","disagree","agree","indecisive","indecisive","indecisive",NA,"disagree","agree","indecisive","disagree","agree","agree","agree","agree","agree","disagree","agree","agree","agree","agree","disagree","agree","disagree","agree","agree","indecisive","agree","agree","agree","agree","1 year"
"56","15.3.17 15:50","","M","Developer","41-50","Male","11-20","Rarely","Vaadin","disagree","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","agree","agree","indecisive","agree","disagree","indecisive","disagree","disagree","disagree","disagree","indecisive","disagree","disagree","indecisive","disagree","disagree","disagree","agree","agree","indecisive","agree","agree","5 year"
"57","15.3.17 17:01","","M","Developer","31-40","Male","3-5","Yes, actively","Vaadin","disagree","agree","indecisive","agree","disagree","agree","agree","indecisive","indecisive","disagree","disagree","disagree","disagree","agree","agree","disagree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","disagree","agree","disagree","agree","agree","5 year"
"58","15.3.17 20:28","Sales","M","Other","31-40","Male",">20","Yes, actively","Vaadin","indecisive","agree","disagree","disagree","agree","agree",NA,NA,"agree","disagree","disagree","agree","indecisive","agree","agree","disagree","agree","agree","disagree","indecisive","agree","agree","agree","indecisive","agree","indecisive","agree","agree","agree","agree","5 year"
"59","15.3.17 20:36","","M","UX designer","41-50","Male","3-5",NA,"Vaadin","agree","agree","indecisive","indecisive","disagree","agree","indecisive","disagree","agree","disagree","disagree","disagree","disagree","indecisive","agree","agree","disagree","disagree","indecisive","indecisive","disagree","disagree","disagree","disagree","agree","indecisive","agree","agree","disagree","agree","1 year"
"60","16.3.17 04:08","","M","Developer","21-30","Male","3-5",NA,"Vaadin","disagree","agree","disagree","agree","disagree","agree","indecisive","disagree","agree","indecisive","indecisive","agree","disagree","disagree","agree","indecisive","disagree","indecisive","agree",NA,"disagree","agree","disagree","indecisive","disagree","agree","agree","agree","indecisive","agree","1 year"
"61","16.3.17 08:58","","M","UX designer","31-40","Male","6-10","Occasionally","Vaadin","disagree","agree","indecisive","disagree","indecisive","indecisive","disagree","disagree","indecisive","indecisive","disagree","agree","indecisive","disagree","disagree","agree","indecisive","agree","agree","agree","disagree","disagree","disagree","disagree","agree","indecisive","indecisive","agree","indecisive","agree","10 year"
"62","16.3.17 09:04","","M","UX designer","31-40","Male","6-10","Occasionally","Vaadin","disagree","agree","indecisive","indecisive","indecisive","agree","disagree","disagree","agree","agree","disagree","agree","indecisive","disagree","agree","disagree","agree","agree","agree","agree","indecisive","indecisive","agree","agree","indecisive","agree","indecisive","agree","agree","agree","10 year"
"63","16.3.17 15:23","","M","Manager","41-50","Male","11-20","Rarely","Vaadin","disagree","agree","disagree","disagree","agree","agree","agree","disagree","agree","indecisive","disagree","agree","agree","indecisive","agree","disagree","agree","disagree","agree","disagree","disagree",NA,NA,"indecisive","agree","disagree","indecisive","agree","disagree","agree","1 year"
"64","16.3.17 17:02","","M","Developer","21-30","Male","6-10","Yes, actively","Vaadin","disagree","agree","disagree","disagree","agree","agree","agree",NA,"indecisive","disagree",NA,"disagree","disagree","indecisive","agree","disagree","disagree","indecisive","agree","agree","disagree","indecisive","agree","agree","disagree","agree","indecisive","agree","agree","agree","1 year"
"65","27.3.17 15:01","","M","Developer","31-40","Male","6-10","Yes, actively","Reaktor","agree","agree","indecisive","agree","disagree","agree","indecisive","agree","disagree","agree","disagree","disagree","indecisive","disagree","agree","disagree","indecisive","indecisive","agree","agree",NA,"agree","agree","agree","indecisive","indecisive","indecisive","indecisive","agree","agree","5 year"
"66","27.3.17 15:03","","M","Developer","21-30","Male","6-10","Occasionally","Reaktor","disagree","agree","disagree","disagree","agree","agree","agree","agree","agree","disagree","disagree","agree","disagree","agree","agree","agree","indecisive","agree","indecisive","agree","agree","agree","agree","agree","indecisive","agree","agree","indecisive","agree","agree","5 year"
"67","27.3.17 15:05","","M","Other","31-40","Male","11-20","Yes, actively","Reaktor","agree","agree","agree","agree","disagree","agree","agree","indecisive","disagree","disagree","indecisive","disagree","disagree","disagree","agree","agree","indecisive","disagree","agree","agree","agree","agree","agree","agree","indecisive","indecisive","agree","agree","agree","agree","1 year"
"68","27.3.17 15:05","data science","M","Developer","41-50","Male","6-10","Yes, actively","Reaktor","agree","indecisive","indecisive","indecisive","disagree","agree","indecisive","indecisive","disagree","disagree","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","indecisive","agree","agree","indecisive","agree","indecisive","agree","disagree","agree","agree","agree","agree","agree","5 year"
"69","27.3.17 15:07","","M","UX designer","31-40","Male","3-5","Yes, actively","Reaktor","disagree","agree","agree","agree","disagree","agree","disagree","disagree","indecisive","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","agree","indecisive","agree","agree","5 year"
