"","SUBTIME","JOBFUNC","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","3.3A","3.3B","3.3C","3.3D","3.3E","3.3F","M1","M2","M3","M4","COMPANY"
"104","11.4.17 12:22",0,"",9999,"M",4,3,4,3,1,5,2,2,4,1,2,2,3,2,"Developer",132,"31-40","Male","3-5",3,4,1,2,2,4,NA,4,2,2,"Occasionally",4,2,4,4,4,4,1,1,1,4,"Reaktor"
"105","11.4.17 12:44",0,"",96,"M",3,5,3,3,3,1,1,3,4,3,3,4,3,3,"Developer",96,"31-40","Male","11-20",5,3,4,4,4,4,3,3,4,4,"Yes, actively",3,5,4,4,2,2,4,3,4,1,"Reaktor"
"106","11.4.17 12:57",3,"",36,"M",3,4,3,3,2,3,NA,3,5,2,2,3,2,3,"UX designer",36,"21-30","Male","3-5",5,4,3,4,4,4,NA,4,4,4,"Yes, actively",4,3,4,4,4,4,3,3,2,4,"Reaktor"
"107","11.4.17 13:35",0,"",108,"M",2,5,2,1,4,2,2,2,2,3,2,2,2,2,"Developer",108,"31-40","Male","3-5",5,2,5,4,4,4,3,5,4,5,"Occasionally",2,5,3,5,3,5,3,3,4,5,"Reaktor"
"108","11.4.17 15:16",0,"",96,"M",5,4,1,1,1,5,2,2,4,2,2,2,2,2,"Developer",96,"41-50","Male","11-20",4,5,3,2,4,4,3,3,3,3,NA,5,1,4,4,2,4,1,1,1,4,"Reaktor"
"109","11.4.17 18:09",4,"UI Visual design",6,"M",2,4,3,3,3,3,4,3,5,3,2,4,3,4,"UX designer",6,"31-40","Male","3-5",4,5,3,4,4,3,2,3,2,3,"Occasionally",3,4,4,4,2,3,3,3,4,3,"Reaktor"
"110","12.4.17 09:23",0,"",36,"M",1,5,3,1,4,5,2,4,3,1,4,4,4,3,"Developer",36,"41-50","Male","11-20",5,1,5,2,4,3,5,5,5,5,"Yes, actively",5,1,4,4,5,3,2,4,4,3,"Reaktor"
"111","12.4.17 13:31",0,"",60,"M",2,5,3,4,2,4,4,4,3,2,3,2,2,2,"Developer",60,"31-40","Male","11-20",4,1,3,4,4,4,5,5,5,5,"Yes, actively",3,2,4,4,4,4,3,3,3,4,"Reaktor"
"112","12.4.17 14:09",6,"UX, Graphic Design, product design",60,"M",5,4,4,2,2,5,3,2,2,1,2,2,3,1,"UX designer",60,"31-40","Male","11-20",3,1,3,2,5,4,4,4,4,4,"Yes, actively",2,5,3,5,4,5,3,3,3,5,"Reaktor"
"113","15.4.17 13:05",0,"",24,"M",2,5,2,3,3,4,2,2,2,2,2,3,2,2,"Developer",24,"31-40","Male","3-5",4,1,4,4,4,4,3,5,4,4,"Yes, actively",1,4,2,4,4,3,2,2,2,5,"Reaktor"
"114","19.4.17 12:52",0,"",72,"M",5,5,2,3,2,3,2,4,4,2,3,3,3,3,"Developer",72,"31-40","Male","3-5",4,5,2,2,4,4,3,3,2,2,"Yes, actively",5,2,4,4,4,4,4,2,4,5,"Reaktor"
"115","19.4.17 12:53",0,"",12,"M",3,5,2,3,3,2,2,4,2,NA,NA,NA,NA,2,"Developer",12,"31-40","Male","6-10",3,3,1,NA,4,3,3,3,3,3,"Never",4,2,4,3,3,4,1,1,1,4,"Reaktor"
"116","19.4.17 12:54",0,"",12,"M",2,5,2,2,3,4,2,4,4,2,3,3,3,2,"Developer",12,"31-40","Male","3-5",4,3,2,4,4,3,3,4,2,2,"Occasionally",2,5,3,5,4,4,2,2,2,4,"Reaktor"
"117","19.4.17 12:54",0,"",96,"M",2,5,2,4,2,3,2,2,3,2,2,2,3,3,"Developer",96,"41-50","Male","< 3",5,3,1,4,4,3,4,4,4,4,"Occasionally",3,5,5,4,4,4,1,2,2,4,"Reaktor"
"118","19.4.17 12:55",0,"",72,"M",4,5,2,4,2,4,3,3,5,2,4,3,3,3,"Developer",72,"41-50","Male","6-10",5,4,4,4,4,4,2,5,3,4,"Occasionally",2,4,4,4,4,3,4,5,5,5,"Reaktor"
"119","19.4.17 12:55",4,"",24,"F",3,4,2,NA,2,4,4,NA,NA,NA,2,3,2,NA,"UX designer",24,"21-30","Female","3-5",4,3,2,3,4,4,NA,4,3,2,NA,3,2,4,4,3,3,3,3,4,1,"Reaktor"
"120","19.4.17 12:58",0,"",24,"M",4,5,2,3,3,3,1,4,4,3,NA,3,3,2,"Developer",24,"31-40","Male","3-5",5,4,4,4,4,4,3,3,3,3,"Occasionally",3,1,5,4,2,4,2,2,3,5,"Reaktor"
"121","19.4.17 13:03",3,"",24,"M",4,5,NA,4,2,5,5,4,3,5,2,2,3,2,"UX designer",24,"31-40","Male","6-10",4,5,2,2,3,2,NA,NA,NA,2,"Yes, actively",2,2,4,3,2,3,NA,3,3,4,"Reaktor"
"122","19.4.17 13:46",0,"",48,NA,4,5,2,4,2,2,2,2,4,4,2,4,3,2,"Developer",48,"31-40",NA,"3-5",4,5,1,2,4,3,2,4,2,2,"Occasionally",4,2,4,4,4,4,1,2,2,5,"Reaktor"
"123","19.4.17 13:51",0,"",120,"M",4,4,4,3,2,4,3,4,4,3,2,2,2,4,"Developer",120,"41-50","Male","6-10",4,NA,2,3,4,3,3,4,2,2,"Occasionally",4,5,4,5,4,4,3,4,4,4,"Reaktor"
"124","19.4.17 13:52",0,"",12,"M",2,4,3,3,4,4,2,NA,3,1,2,4,2,2,"Developer",12,"21-30","Male","6-10",5,NA,4,2,4,3,4,5,5,5,"Yes, actively",4,2,4,3,5,4,4,4,4,1,"Reaktor"
"125","19.4.17 14:20",0,"",11,"M",4,5,3,4,2,4,NA,2,3,1,2,2,2,4,"Developer",11,"21-30","Male","6-10",4,4,2,2,3,2,3,3,4,4,"Yes, actively",4,3,4,4,2,2,1,1,1,4,"Reaktor"
"126","19.4.17 14:33",6,"Office administration",6,"F",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Other",6,"31-40","Female",">20",1,4,1,1,1,1,3,3,3,3,NA,3,3,4,4,3,3,1,1,1,1,"Reaktor"
"127","19.4.17 15:05",3,"",6,"M",2,4,2,3,2,3,4,4,3,3,1,5,3,3,"UX designer",6,"31-40","Male","6-10",5,1,5,5,5,5,NA,4,5,4,"Yes, actively",4,4,5,4,5,5,5,5,4,5,"Reaktor"
"128","19.4.17 15:11",0,"",9999,"M",2,5,2,2,4,3,3,3,3,2,3,3,2,2,"Developer",132,"41-50","Male","6-10",4,3,3,4,4,4,3,5,3,3,"Yes, actively",3,5,4,5,3,5,3,3,3,4,"Reaktor"
"129","19.4.17 16:51",0,"",48,"M",3,4,2,3,2,4,4,4,3,4,NA,4,2,4,"Developer",48,"21-30","Male","6-10",4,NA,1,1,4,2,3,3,2,2,"Yes, actively",4,2,4,4,5,4,1,1,2,3,"Reaktor"
"130","19.4.17 22:42",2,"",48,"M",2,5,2,3,3,4,3,2,2,1,1,2,2,3,"Manager",48,"31-40","Male",">20",5,1,5,5,5,5,4,4,4,4,"Yes, actively",2,4,4,5,3,5,4,5,4,3,"Reaktor"
