"","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","COMPANY"
"28","",11,"M",2,5,3,2,4,1,1,2,4,2,2,3,3,3,"Developer",11,"31-40","Male","6-10",4,4,2,5,4,NA,4,4,2,3,"Yes, actively",4,2,5,4,4,4,"Ericsson"
"29","",36,"F",2,5,2,2,5,2,1,2,2,4,2,4,2,2,"Manager",36,"31-40","Female","6-10",3,2,5,4,4,4,5,2,2,5,"Rarely",4,2,4,3,4,3,"Ericsson"
"30","",72,NA,1,5,1,5,4,4,1,2,4,2,2,2,2,2,"Developer",72,"41-50",NA,"6-10",4,2,4,2,3,3,NA,5,4,4,"Rarely",4,2,4,2,5,1,"Ericsson"
"31","",36,"M",4,4,4,4,4,4,4,4,4,4,4,4,3,4,"Manager",36,"50 or more","Male",">20",4,4,5,4,4,4,3,3,3,3,"Occasionally",3,3,4,4,4,4,"Ericsson"
"32","",12,"M",2,4,2,4,3,4,3,3,3,2,3,2,NA,4,"Developer",12,"41-50","Male","3-5",2,5,1,3,4,NA,4,NA,NA,1,NA,NA,NA,3,3,3,2,"Ericsson"
"33","",12,"M",2,5,3,NA,5,4,1,3,4,5,4,5,NA,NA,"Developer",12,"41-50","Male","< 3",2,5,1,4,5,5,NA,NA,NA,NA,"Yes, actively",5,2,5,5,4,2,"Ericsson"
"34","",36,"F",4,5,4,4,5,4,4,3,2,2,2,5,2,3,"Developer",36,"31-40","Female","3-5",5,4,4,4,5,4,5,5,5,5,"Yes, actively",4,5,5,4,4,5,"Ericsson"
"35","",24,"M",2,4,2,3,3,3,2,4,2,3,2,3,2,2,"Manager",24,"31-40","Male",">20",4,3,4,3,5,3,3,3,2,3,"Yes, actively",5,2,3,4,4,3,"Ericsson"
"36",NA,2,"M",1,5,1,1,5,1,1,3,4,NA,4,5,3,2,"Developer",2,"31-40","Male",">20",5,2,4,4,4,4,3,5,4,5,NA,2,5,3,3,3,3,"F-secure"
"37",NA,36,"M",3,5,2,3,3,4,2,3,3,4,3,4,5,2,"Manager",36,"31-40","Male","11-20",4,2,2,3,4,3,3,4,3,4,"Occasionally",4,2,5,5,3,4,"F-secure"
"38",NA,12,"M",2,3,4,3,2,5,2,2,4,4,1,2,2,2,"Manager",12,"31-40","Male",">20",5,1,4,2,3,3,4,4,5,3,"Occasionally",4,2,3,3,4,4,"F-secure"
"39",NA,12,NA,1,1,1,1,5,1,1,4,4,4,4,4,4,4,"Other",12,"41-50",NA,">20",4,3,2,4,2,4,1,4,2,2,"Occasionally",4,4,4,4,2,4,"F-secure"
"40",NA,3,"M",2,5,4,3,1,5,5,3,4,2,4,4,2,1,"Manager",3,"41-50","Male",">20",4,3,2,4,5,NA,3,5,NA,4,"Yes, actively",2,4,4,4,3,4,"F-secure"
"41",NA,24,"F",2,4,2,2,4,2,2,3,4,4,NA,4,4,4,"Manager",24,"31-40","Female","11-20",4,NA,2,4,4,4,2,3,NA,3,"Rarely",3,4,3,4,4,4,"F-secure"
